Latitude,Longitude
37.79361111108429,-122.41611111106644
38.01027777775113,-122.28861111106632
37.72972222219535,-122.47333333328868
37.723888888862014,-122.3999999999553
37.62111111108416,-122.41027777773309
37.522499999972965,-122.29305555551078
37.83222222219543,-121.99249999995496
37.51249999997295,-122.48111111106648
37.78916666663984,-122.43722222217755
37.40944444441732,-122.10888888884396
37.79861111108429,-122.16055555551068
37.78777777775096,-122.41361111106644
37.62916666663971,-122.41027777773309
37.76916666663983,-122.44611111106646
37.75611111108426,-122.1852777777329
37.7808333333065,-121.92611111106604
37.65111111108418,-121.88555555551044
37.36833333330617,-122.11527777773286
38.1647222221957,-122.25916666662184
37.78277777775095,-122.3974999999553
37.76138888886205,-122.50027777773316
37.3919444444173,-122.01972222217722
37.70583333330645,-121.86277777773265
37.58333333330634,-122.02916666662168
37.51027777775073,-122.31527777773302
37.64277777775084,-122.0883333332884
37.54694444441743,-121.9708333332883
38.02916666664003,-122.25888888884408
37.79833333330652,-121.93499999995493
37.48194444441737,-121.9216666666216
37.75388888886204,-122.42111111106644
37.967777777751095,-121.9844444443994
37.94222222219552,-122.04722222217724
37.77694444441761,-122.19777777773292
37.528055555528525,-122.28916666662188
37.96583333330665,-121.93944444439938
37.55388888886188,-122.36888888884415
37.77694444441761,-121.98611111106608
38.00222222219557,-122.1136111110662
37.58972222219524,-122.06638888884392
38.016388888862245,-122.2574999999552
38.25138888886244,-122.62388888884438
37.78611111108428,-122.42611111106643
38.26138888886244,-122.63277777773328
37.56861111108411,-122.01694444439944
37.68805555552865,-122.49194444439982
37.70805555552867,-121.734722222177
37.568888888861885,-122.07333333328836
37.69638888886199,-121.87249999995488
37.41444444441732,-122.12416666662176
38.23749999997354,-121.99777777773276
38.08611111108452,-122.2269444443996
37.90361111108438,-122.53416666662208
37.58249999997301,-122.3736111110664
37.67999999997309,-122.07749999995504
37.68888888886198,-122.08972222217729
38.286111111084686,-122.46861111106648
37.70583333330645,-121.89861111106602
37.48527777775071,-121.91972222217714
37.72472222219535,-122.44277777773311
37.7644444444176,-122.43611111106644
37.69249999997309,-122.4594444443998
37.72972222219535,-122.18861111106624
37.586944444417455,-122.07861111106617
38.29944444441803,-122.50166666662206
37.6899999999731,-122.49527777773316
37.77249999997317,-122.42472222217756
37.96499999997332,-122.33638888884414
37.88111111108436,-122.03416666662169
37.756388888862034,-122.46138888884424
37.61694444441749,-122.4036111110664
37.359166666639496,-122.04166666662168
37.38972222219508,-122.01388888884388
37.98666666664,-122.320277777733
37.57833333330634,-122.36833333328862
37.741944444417584,-122.421666666622
37.693333333306434,-122.09916666662173
37.42916666663955,-121.87277777773268
37.69527777775088,-122.46166666662202
37.39499999997286,-121.9897222221772
37.70277777775088,-122.181388888844
37.61833333330637,-122.03833333328836
37.60694444441747,-122.42111111106644
37.744166666639806,-122.42305555551089
37.98388888886222,-122.07222222217726
37.80027777775096,-122.19444444439958
37.77249999997317,-122.20972222217738
37.79638888886207,-122.40777777773307
38.27027777775134,-122.05194444439948
