Sample_ID,Time_to_CSC_min,Time_to_PSC_min,Time_to_Clinic_min,Time_since_onset_min,CSC_Reachable,PSC_Reachable,Clinic_Reachable,Predicted_Label,Predicted_Action,Diff_CSC_PSC,Diff_CSC_Clinic,Diff_PSC_Clinic,Ratio_CSC_PSC,Ratio_CSC_Clinic,Ratio_PSC_Clinic,Fastest_Reachable_Hospital,Decision_Matches_Fastest_Reachable
970,48.67,40.37,5.6,168.84,true,true,true,2,Route_PSC,8.3,43.08,34.77,1.206,8.694,7.211,Clinic,false
971,38.82,44.95,24.99,103.85,true,true,true,1,Route_CSC,6.13,13.83,19.96,0.864,1.554,1.799,Clinic,false
972,44.63,26.8,3.62,23.35,true,true,true,1,Route_CSC,17.82,41.0,23.18,1.665,12.317,7.398,Clinic,false
973,51.98,57.19,8.82,99.7,true,true,true,1,Route_CSC,5.21,43.16,48.37,0.909,5.893,6.484,Clinic,false
974,48.17,54.3,5.42,73.27,true,true,true,1,Route_CSC,6.13,42.75,48.88,0.887,8.885,10.015,Clinic,false
975,65.66,71.11,13.06,238.95,true,true,true,3,Route_Clinic,5.45,52.6,58.05,0.923,5.028,5.445,Clinic,true
976,18.6,16.49,6.99,139.01,true,true,true,1,Route_CSC,2.11,11.61,9.5,1.128,2.66,2.358,Clinic,false
977,66.54,52.08,24.38,134.69,true,true,true,1,Route_CSC,14.47,42.17,27.7,1.278,2.73,2.136,Clinic,false
978,1.0e8,82.95,33.59,0.24,false,true,true,2,Route_PSC,0.0,0.0,49.36,1.0,1.0,2.469,Clinic,false
979,1.0e8,80.2,21.35,212.62,false,true,true,3,Route_Clinic,0.0,0.0,58.86,1.0,1.0,3.757,Clinic,true
980,75.78,61.31,25.54,248.44,true,true,true,3,Route_Clinic,14.47,50.24,35.77,1.236,2.967,2.401,Clinic,true
981,81.43,63.61,20.72,119.78,true,true,true,1,Route_CSC,17.82,60.71,42.89,1.28,3.931,3.07,Clinic,false
982,26.74,6.75,14.17,44.38,true,true,true,1,Route_CSC,19.99,12.57,7.42,3.963,1.887,0.476,PSC,false
983,41.1,23.28,10.7,35.84,true,true,true,2,Route_PSC,17.82,30.4,12.57,1.766,3.839,2.175,Clinic,false
984,30.14,30.91,22.12,23.04,true,true,true,1,Route_CSC,0.77,8.02,8.79,0.975,1.363,1.397,Clinic,false
985,83.51,69.04,19.19,44.73,true,true,true,1,Route_CSC,14.47,64.32,49.85,1.21,4.352,3.598,Clinic,false
986,47.74,44.57,9.55,44.48,true,true,true,1,Route_CSC,3.17,38.18,35.02,1.071,4.998,4.666,Clinic,false
987,1.0e8,81.91,23.69,62.42,false,true,true,2,Route_PSC,0.0,0.0,58.22,1.0,1.0,3.458,Clinic,false
988,58.71,64.16,16.42,73.96,true,true,true,1,Route_CSC,5.46,42.28,47.74,0.915,3.575,3.907,Clinic,false
989,70.46,75.91,8.04,53.61,true,true,true,1,Route_CSC,5.45,62.42,67.88,0.928,8.767,9.446,Clinic,false
990,35.58,41.71,28.08,83.61,true,true,true,1,Route_CSC,6.13,7.5,13.63,0.853,1.267,1.485,Clinic,false
991,35.24,36.02,14.12,244.49,true,true,true,3,Route_Clinic,0.77,21.13,21.9,0.978,2.497,2.552,Clinic,true
992,78.41,63.94,23.15,235.66,true,true,true,3,Route_Clinic,14.47,55.27,40.8,1.226,3.388,2.763,Clinic,true
993,31.69,13.86,12.28,62.49,true,true,true,1,Route_CSC,17.82,19.41,1.59,2.285,2.58,1.129,Clinic,false
994,35.72,19.38,9.32,10.82,true,true,true,1,Route_CSC,16.34,26.4,10.06,1.843,3.831,2.078,Clinic,false
995,38.14,23.67,1.98,204.35,true,true,true,3,Route_Clinic,14.47,36.16,21.69,1.611,19.277,11.963,Clinic,true
996,15.73,9.48,12.57,18.31,true,true,true,1,Route_CSC,6.25,3.16,3.09,1.659,1.252,0.754,PSC,false
997,43.41,43.84,8.73,114.96,true,true,true,1,Route_CSC,0.43,34.68,35.11,0.99,4.975,5.023,Clinic,false
998,70.77,76.9,22.09,54.94,true,true,true,1,Route_CSC,6.13,48.68,54.8,0.92,3.204,3.481,Clinic,false
999,31.14,25.13,24.84,53.83,true,true,true,1,Route_CSC,6.01,6.3,0.29,1.239,1.254,1.012,Clinic,false
1000,1.0e8,80.66,31.3,210.65,false,true,true,3,Route_Clinic,0.0,0.0,49.36,1.0,1.0,2.577,Clinic,true
